Mutation	Category	Type	List	Tuple	List_Delimiter	Tuple_Delimiter	Tuple_Types
mutation	description	text	0	0	None	None	None
aa_snps	sequence	text	1	0	,	None	None
amplified	count	integer	0	0	None	None	None
antisense	description	text	0	0	None	None	None
codonoptimized	none	text	0	0	None	None	None
compartmentalization	description	text	0	0	None	None	None
con	description	text	0	0	None	None	None
del	none	text	0	0	None	None	None
duplication	description	text	0	1	None	|	str,str
frameshift	description	text	0	0	None	None	None
indel	location	text	1	1	,	|	int,int,str
integrated	description	text	0	0	None	None	None
intergenic	gene	text	0	1	None	|	str,str
is_insertion	location	text	0	1	None	|	str,str
large_deletion	gene	text	0	1	None	|	str,str
less_nadh_inhibition	none	text	0	0	None	None	None
mrna_secondarystructure	none	text	0	0	None	None	None
mutated	description	text	0	0	None	None	None
nuc_snps	sequence	text	1	0	,	None	None
oe	description	text	0	1	None	,	str,str
plasmid	description	text	0	1	None	,	str,str
promoter_switch	description	text	0	0	None	None	None
protein_fusion	text	text	0	0	None	None	None
rbs_tuned	sequence	text	0	0	None	None	None
regulated	text	text	1	0	,	None	None
rep	description	text	0	0	None	None	None
scaffold_bindee	text	text	0	0	None	None	None
scaffold_binder	text	text	0	0	None	None	None
sensor	text	text	0	0	None	None	None
terminated	description	text	0	0	None	None	None
truncated	none	text	0	0	None	None	None
large_inversion	gene	text	0	1	None	|	str,str
large_amplification	gene	text	0	1	None	|	str,str,int	
