journal	abbrevs
BIOSCIENCE, BIOTECHNOLOGY, AND BIOCHEMISTRY	B3
BIOTECHNOLOGY AND BIOENGINEERING	BB
JOURNAL OF APPLIED MICROBIOLOGY	JAM
NATURE CHEMICAL BIOLOGY	NATCB
PLOS GENETICS	PLGE
JOURNAL OF BIOTECHNOLOGY	JBIOT
NATURE BIOTECHNOLOGY	NBT
BIOTECHNOLOGY PROGRESS	BPROG
ORGANIC AND BIOMOLECULAR CHEMISTRY	OBC
NATURE	NAT
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	AMB
METABOLIC ENGINEERING	ME
APPLIED AND ENVIRONMENTAL MICROBIOLOGY	AEM
WILEY INTERSCIENCE	WINT
NATURE COMMUNICATIONS	NCOMM
BIOTECHNOLOGY FOR BIOFUELS	BFBF
ACS SYNTHETIC BIOLOGY	ACSB
PNAS	PNAS
FEMS YEAST RESEARCH	FEMY
APPLIED BIOTECHNOLOGY AND MICROBIOLOGY	ABM
MICROBIAL CELL FACTORIES	MCF
Other	OTH
JOURNAL OF INDUSTRIAL MICROBIOLOGY AND BIOTECHNOLOGY	JIMB
NUCLEIC ACIDS RESEARCH	NAR
JOURNAL OF BACTERIOLOGY	JBACT
MOLECULAR MICROBIOLOGY	M&M
JOURNAL OF BIOLOGICAL CHEMISTRY	JBC
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY	AAC
MICROBIOLOGY	MICRO
FEMS MICROBIOLOGY LETTERS	FMBL
MOLECULAR SYSTEMS BIOLOGY	MSB
