Stressor	Tag	Stressor Class	Root
BETA-AMINO-N-VALERATE	aa_antimetabolite	Amino acid	Amino Acid
CYSTINE	aa_antimetabolite	Amino acid	Amino acid
D-CYCLOSERINE	aa_antimetabolite	Amino acid	Amino acid
D-SERINE	aa_antimetabolite	Amino acid	Amino Acid
D-VALINE	aa_antimetabolite	Amino acid	Amino Acid
L-CYSTEINE	aa_antimetabolite	Amino acid	Amino acid
L-HOMOSERINE	aa_antimetabolite	Amino acid	Amino acid
L-PROLINE	aa_antimetabolite	Amino acid	Amino acid
L-SERINE	aa_antimetabolite	Amino acid	Amino acid
L-THREONINE	aa_antimetabolite	Amino acid	Amino acid
L-VALINE	aa_antimetabolite	Amino acid	Amino acid
SERINE	aa_antimetabolite	Amino acid	Amino acid
VALINE_SENSITIVE	aa_antimetabolite	Amino acid	Amino acid
BETA-CHLORO-L-ALANINE	aa_antimetabolite	Amino acid analog	Metabolic analog
4-AZA-DL-LEUCINE	aa_antimetabolite	Antimetabolite	Antimetabolite
ASPARTATE ACID HYDROXYMATE	aa_antimetabolite	Antimetabolite	Antimetabolite
ASPARTIC ACID BETA-HYDROXAMATE	aa_antimetabolite	Antimetabolite	Antimetabolite
D-L-ALANOSINE	aa_antimetabolite	Antimetabolite	Antimetabolite
GLYCYL-L-LEUCINE	aa_antimetabolite	Antimetabolite	Antimetabolite
HOMOSERINE	aa_antimetabolite	Antimetabolite	Antimetabolite
HOMOSERINE LACTONE	aa_antimetabolite	Antimetabolite	Antimetabolite
L-ALPHA-AMINO-N-BUTYRIC ACID	aa_antimetabolite	Antimetabolite	Antimetabolite
L-THREO-3-HYDROXYASPARTIC ACID	aa_antimetabolite	Antimetabolite	Antimetabolite
NORVALINE	aa_antimetabolite	Antimetabolite	Antimetabolite
D_L-Methionine hydroxamate	aa_antimetabolite	Methionine analog	Antimetabolite
L-Aspartic-B-hydroxamate	aa_antimetabolite	Serine racemase inhibitor	AA analog
ACTINOMYCIN D	antichemo	actinomycines	antibiotic
BULGECIN	other	Adjuvant	Adjuvant
DEOXYCHOLATE	other	Adjuvant	Adjuvant
DEOXYCHOLIC ACID_SENSITIVE	other	Adjuvant	Adjuvant
NOV_SENSITIVE	antichemo	Aminocoumarin	antibiotic
NOVOBIOCIN	antichemo	Aminocoumarin	antibiotic
NOVOBIOCIN_SENSITIVE	antichemo	Aminocoumarin	antibiotic
AMIKACIN	antichemo	Aminoglycoside	antibiotic
AMIKACIN_SENSITIVE	antichemo	Aminoglycoside	antibiotic
GENTAMICIN_SENSITIVE	antichemo	Aminoglycoside	antibiotic
HYGROMYCIN B	antichemo	Aminoglycoside	antibiotic
KANAMYCIN	antichemo	Aminoglycoside	antibiotic
KASUGAMYCINE_SENSITIVE	antichemo	Aminoglycoside	antibiotic
PAROMOMYCIN	antichemo	Aminoglycoside	antibiotic
SISOMICIN	antichemo	Aminoglycoside	antibiotic
SPECTINOMYCIN	antichemo	Aminoglycoside	antibiotic
SPECTINOMYCIN_SENSITIVE	antichemo	Aminoglycoside	antibiotic
STREPTOMYCIN	antichemo	Aminoglycoside	antibiotic
STREPTONIGRIN_SENSITIVE	antichemo	Aminoglycoside	antibiotic
TOBRAMYCIN	antichemo	Aminoglycoside	antibiotic
