# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	190	255	+					thrL		ECW_m0001	66		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	190	255	+	ADT73554.1			Threonine Leader Peptide	thrL		ECW_m0001	66	21	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	336	2798	+					thrA		ECW_m0002	2463		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	336	2798	+	ADT73555.1			fused aspartokinase I and homoserine dehydrogenase I	thrA		ECW_m0002	2463	820	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	2800	3732	+					thrB		ECW_m0003	933		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	2800	3732	+	ADT73556.1			homoserine kinase	thrB		ECW_m0003	933	310	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	3733	5019	+					thrC		ECW_m0004	1287		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	3733	5019	+	ADT73557.1			threonine synthase	thrC		ECW_m0004	1287	428	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	5233	5529	+							ECW_m0005	297		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	5233	5529	+	ADT73558.1			conserved hypothetical protein			ECW_m0005	297	98	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	5789	6769	+							ECW_m0006	981		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	5789	6769	+	ADT73559.1			IS621 transposase ORF2			ECW_m0006	981	326	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	6961	7737	-							ECW_m0007	777		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	6961	7737	-	ADT73560.1			conserved hypothetical protein			ECW_m0007	777	258	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	7807	9237	-					yaaJ		ECW_m0008	1431		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	7807	9237	-	ADT73561.1			predicted transporter	yaaJ		ECW_m0008	1431	476	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	9516	10469	+					talB		ECW_m0009	954		
CDS	with_protein	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	9516	10469	+	ADT73562.1			transaldolase	talB		ECW_m0009	954	317	
gene	protein_coding	GCA_000184185.1	Primary Assembly	chromosome		CP002185.1	10584	11171	+					mog		ECW_m0010	588		
