# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	190	255	+					thrL		ECD_00001	66		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	190	255	+	ACT41903.1			thr operon leader peptide	thrL		ECD_00001	66	21	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	336	2798	+					thrA		ECD_00002	2463		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	336	2798	+	ACT41904.1			Bifunctional aspartokinase/homoserine dehydrogenase 1	thrA		ECD_00002	2463	820	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	2800	3732	+					thrB		ECD_00003	933		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	2800	3732	+	ACT41905.1			homoserine kinase	thrB		ECD_00003	933	310	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	3733	5019	+					thrC		ECD_00004	1287		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	3733	5019	+	ACT41906.1			L-threonine synthase	thrC		ECD_00004	1287	428	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	5232	5528	+					yaaX		ECD_00005	297		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	5232	5528	+	ACT41907.1			DUF2502 family putative periplasmic protein	yaaX		ECD_00005	297	98	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	5681	6457	-					yaaA		ECD_00006	777		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	5681	6457	-	ACT41908.1			peroxide resistance protein, lowers intracellular iron	yaaA		ECD_00006	777	258	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	6527	7957	-					yaaJ		ECD_00007	1431		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	6527	7957	-	ACT41909.1			putative transporter	yaaJ		ECD_00007	1431	476	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	8236	9189	+					talB		ECD_00008	954		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	8236	9189	+	ACT41910.1			transaldolase B	talB		ECD_00008	954	317	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	9304	9891	+					mog		ECD_00009	588		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	9304	9891	+	ACT41911.1			molybdochelatase incorporating molybdenum into molybdopterin	mog		ECD_00009	588	195	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	9926	10492	-					satP		ECD_00010	567		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	9926	10492	-	ACT41912.1			succinate-acetate transporter	satP		ECD_00010	567	188	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	10641	11354	-					yaaW		ECD_00011	714		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	10641	11354	-	ACT41913.1			UPF0174 family protein	yaaW		ECD_00011	714	237	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	10828	11313	+					htgA		ECD_00012	486		
CDS	with_protein	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	10828	11313	+	ACT41914.1			hypothetical protein	htgA		ECD_00012	486	161	
gene	protein_coding	GCA_000022665.2	Primary Assembly	chromosome		CP001509.3	11380	11784	-					yaaI		ECD_00013	405		
