# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	190	255	+					thrL		BW25113_0001	66		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	190	255	+	AIN30539.1			thr operon leader peptide	thrL		BW25113_0001	66	21	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	337	2799	+					thrA		BW25113_0002	2463		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	337	2799	+	AIN30540.1			Bifunctional aspartokinase/homoserine dehydrogenase 1	thrA		BW25113_0002	2463	820	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	2801	3733	+					thrB		BW25113_0003	933		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	2801	3733	+	AIN30541.1			homoserine kinase	thrB		BW25113_0003	933	310	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	3734	5020	+					thrC		BW25113_0004	1287		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	3734	5020	+	AIN30542.1			L-threonine synthase	thrC		BW25113_0004	1287	428	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	5234	5530	+					yaaX		BW25113_0005	297		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	5234	5530	+	AIN30543.1			DUF2502 family putative periplasmic protein	yaaX		BW25113_0005	297	98	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	5683	6459	-					yaaA		BW25113_0006	777		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	5683	6459	-	AIN30544.1			peroxide resistance protein, lowers intracellular iron	yaaA		BW25113_0006	777	258	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	6529	7959	-					yaaJ		BW25113_0007	1431		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	6529	7959	-	AIN30545.1			putative transporter	yaaJ		BW25113_0007	1431	476	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	8238	9191	+					talB		BW25113_0008	954		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	8238	9191	+	AIN30546.1			transaldolase B	talB		BW25113_0008	954	317	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	9306	9893	+					mog		BW25113_0009	588		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	9306	9893	+	AIN30547.1			molybdochelatase incorporating molybdenum into molybdopterin	mog		BW25113_0009	588	195	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	9928	10494	-					satP		BW25113_0010	567		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	9928	10494	-	AIN30548.1			succinate-acetate transporter	satP		BW25113_0010	567	188	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	10643	11356	-					yaaW		BW25113_0011	714		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	10643	11356	-	AIN30549.1			UPF0174 family protein	yaaW		BW25113_0011	714	237	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	11382	11786	-					yaaI		BW25113_0013	405		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	11382	11786	-	AIN30550.1			UPF0412 family protein	yaaI		BW25113_0013	405	134	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	12163	14079	+					dnaK		BW25113_0014	1917		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	12163	14079	+	AIN30551.1			chaperone Hsp70, with co-chaperone DnaJ	dnaK		BW25113_0014	1917	638	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	14168	15298	+					dnaJ		BW25113_0015	1131		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	14168	15298	+	AIN30552.1			chaperone Hsp40, DnaK co-chaperone	dnaJ		BW25113_0015	1131	376	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	15445	16557	+					insL1		BW25113_0016	1113		
CDS	with_protein	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	15445	16557	+	AIN30553.1			IS186 transposase	insL1		BW25113_0016	1113	370	
gene	protein_coding	GCA_000750555.1	Primary Assembly	chromosome		CP009273.1	16751	16960	-					mokC		BW25113_0018	210		
