# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	190	255	+					thrL		b0001	66		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	190	255	+	AAC73112.1			thr operon leader peptide	thrL		b0001	66	21	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	337	2799	+					thrA		b0002	2463		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	337	2799	+	AAC73113.1			fused aspartate kinase/homoserine dehydrogenase 1	thrA		b0002	2463	820	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	2801	3733	+					thrB		b0003	933		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	2801	3733	+	AAC73114.1			homoserine kinase	thrB		b0003	933	310	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	3734	5020	+					thrC		b0004	1287		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	3734	5020	+	AAC73115.1			threonine synthase	thrC		b0004	1287	428	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	5234	5530	+					yaaX		b0005	297		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	5234	5530	+	AAC73116.1			DUF2502 domain-containing protein YaaX	yaaX		b0005	297	98	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	5683	6459	-					yaaA		b0006	777		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	5683	6459	-	AAC73117.1			peroxide stress resistance protein YaaA	yaaA		b0006	777	258	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	6529	7959	-					yaaJ		b0007	1431		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	6529	7959	-	AAC73118.1			putative transporter YaaJ	yaaJ		b0007	1431	476	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	8238	9191	+					talB		b0008	954		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	8238	9191	+	AAC73119.1			transaldolase B	talB		b0008	954	317	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	9306	9893	+					mog		b0009	588		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	9306	9893	+	AAC73120.1			molybdopterin adenylyltransferase	mog		b0009	588	195	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	9928	10494	-					satP		b0010	567		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	9928	10494	-	AAC73121.1			acetate/succinate:H(+) symporter	satP		b0010	567	188	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	10643	11356	-					yaaW		b0011	714		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	10643	11356	-	AAC73122.1			putative enzyme-specific chaperone YaaW	yaaW		b0011	714	237	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	10830	11315	+					mbiA		b0012	486		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	10830	11315	+	AYC08161.1			uncharacterized protein MbiA	mbiA		b0012	486	161	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	11382	11786	-					yaaI		b0013	405		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	11382	11786	-	AAC73124.1			DUF2541 domain-containing protein YaaI	yaaI		b0013	405	134	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	12163	14079	+					dnaK		b0014	1917		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	12163	14079	+	AAC73125.1			chaperone protein DnaK	dnaK		b0014	1917	638	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	14168	15298	+					dnaJ		b0015	1131		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	14168	15298	+	AAC73126.1			chaperone protein DnaJ	dnaJ		b0015	1131	376	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	15445	16557	+					insL-1		b0016	1113		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	15445	16557	+	AAC73127.1			IS186/IS421 transposase	insL-1		b0016	1113	370	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16751	16960	-					mokC		b0018	210		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16751	16960	-	AAC73129.1			regulatory protein MokC	mokC		b0018	210	69	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16751	16903	-					hokC		b4412	153		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16751	16903	-	AAT48122.1			protein HokC	hokC		b4412	153	50	
gene	ncRNA	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16952	17006	+					sokC		b4413	55		
ncRNA	other	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	16952	17006	+				antisense RNA blocking mokC and hokC translation	sokC		b4413	55		
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	17489	18655	+					nhaA		b0019	1167		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	17489	18655	+	AAC73130.1			Na(+):H(+) antiporter NhaA	nhaA		b0019	1167	388	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	18715	19620	+					nhaR		b0020	906		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	18715	19620	+	AAC73131.1			DNA-binding transcriptional activator NhaR	nhaR		b0020	906	301	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	19811	20314	-					insB-1		b0021	504		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	19811	20314	-	AAC73132.1			IS1 protein InsB	insB-1		b0021	504	167	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	20233	20508	-					insA-1		b0022	276		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	20233	20508	-	AAC73133.1			IS1 protein InsA	insA-1		b0022	276	91	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	20815	21078	-					rpsT		b0023	264		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	20815	21078	-	AAC73134.1			30S ribosomal subunit protein S20	rpsT		b0023	264	87	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	21181	21399	+					yaaY		b0024	219		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	21181	21399	+	AAC73135.1			DUF2575 domain-containing protein YaaY	yaaY		b0024	219	72	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	21407	22348	+					ribF		b0025	942		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	21407	22348	+	AAC73136.1			bifunctional riboflavin kinase/FMN adenylyltransferase	ribF		b0025	942	313	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	22391	25207	+					ileS		b0026	2817		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	22391	25207	+	AAC73137.1			isoleucine--tRNA ligase	ileS		b0026	2817	938	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	25207	25701	+					lspA		b0027	495		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	25207	25701	+	AAC73138.1			lipoprotein signal peptidase	lspA		b0027	495	164	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	25826	26275	+					fkpB		b0028	450		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	25826	26275	+	AAC73139.1			peptidyl-prolyl cis-trans isomerase FkpB	fkpB		b0028	450	149	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	26277	27227	+					ispH		b0029	951		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	26277	27227	+	AAC73140.1			1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	ispH		b0029	951	316	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	27293	28207	+					rihC		b0030	915		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	27293	28207	+	AAC73141.1			ribonucleoside hydrolase RihC	rihC		b0030	915	304	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	28374	29195	+					dapB		b0031	822		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	28374	29195	+	AAC73142.1			4-hydroxy-tetrahydrodipicolinate reductase	dapB		b0031	822	273	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	29651	30799	+					carA		b0032	1149		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	29651	30799	+	AAC73143.1			carbamoyl phosphate synthetase subunit alpha	carA		b0032	1149	382	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	30817	34038	+					carB		b0033	3222		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	30817	34038	+	AAC73144.1			carbamoyl phosphate synthetase subunit beta	carB		b0033	3222	1073	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	34300	34695	+					caiF		b0034	396		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	34300	34695	+	AAC73145.2			DNA-binding transcriptional activator CaiF	caiF		b0034	396	131	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	34781	35371	-					caiE		b0035	591		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	34781	35371	-	AAC73146.2			putative transferase CaiE	caiE		b0035	591	196	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	35377	36162	-					caiD		b0036	786		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	35377	36162	-	AAC73147.2			crotonobetainyl-CoA hydratase	caiD		b0036	786	261	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	36271	37824	-					caiC		b0037	1554		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	36271	37824	-	AAC73148.2			carnitine-CoA ligase	caiC		b0037	1554	517	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	37898	39115	-					caiB		b0038	1218		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	37898	39115	-	AAC73149.1			gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB		b0038	1218	405	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	39244	40386	-					caiA		b0039	1143		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	39244	40386	-	AAC73150.1			crotonobetainyl-CoA reductase	caiA		b0039	1143	380	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	40417	41931	-					caiT		b0040	1515		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	40417	41931	-	AAC73151.1			L-carnitine:gamma-butyrobetaine antiporter	caiT		b0040	1515	504	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	42403	43173	+					fixA		b0041	771		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	42403	43173	+	AAC73152.2			putative electron transfer flavoprotein FixA	fixA		b0041	771	256	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	43188	44129	+					fixB		b0042	942		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	43188	44129	+	AAC73153.1			putative electron transfer flavoprotein FixB	fixB		b0042	942	313	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	44180	45466	+					fixC		b0043	1287		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	44180	45466	+	AAC73154.1			putative oxidoreductase FixC	fixC		b0043	1287	428	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	45463	45750	+					fixX		b0044	288		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	45463	45750	+	AAC73155.1			putative ferredoxin FixX	fixX		b0044	288	95	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	45807	47138	+					yaaU		b0045	1332		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	45807	47138	+	AAC73156.1			putative transporter YaaU	yaaU		b0045	1332	443	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	47246	47776	+					kefF		b0046	531		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	47246	47776	+	AAC73157.1			regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF		b0046	531	176	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	47769	49631	+					kefC		b0047	1863		
CDS	with_protein	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	47769	49631	+	AAC73158.1			K(+) : H(+) antiporter KefC	kefC		b0047	1863	620	
gene	protein_coding	GCA_000005845.2	Primary Assembly	chromosome		U00096.3	49823	50302	+					folA		b0048	480		
