gene	cogs
b3356	O
b3357	
b2519	M
b3355	C
b3824	E
b3825	I
b3350	P
b3351	S
b3828	K
b2512	M
b2511	F
b2510	S
b2517	J
b3822	L
b2515	I
b3359	E
b2518	F
b3352	S
b3353	S
b1503	S
b2924	M
b2199	O
b2198	U
b2197	O
b2196	O
b2195	O
b2194	O
b2193	T
b2192	L
b2144	S
b2190	U
b3734	C
b3735	C
b3736	C
b3737	
b3730	M
b3731	C
b3732	C
b3733	C
b2607	J
b2606	J
b2605	M
b2604	T
b3738	C
b3739	U
b2601	E
b2600	E
b2175	M
b2174	I
b2177	E
b2176	T
b2171	J
b2170	G
b2173	S
b2172	G
b3987	K
b2145	S
b2178	P
b3986	J
b2997	C
b2996	C
b2995	C
b2994	C
b3918	I
b2992	O
b2991	O
b2990	O
b1897	G
b3915	P
b3916	G
b3984	J
b3910	S
b3911	T
b3912	T
b1890	N
b2146	E
b3858	S
b3206	G
b1097	F
b1096	H,E
b1095	I
b1094	
b1093	S
b1092	I
b1091	I
b1090	I
b2852	K
b1099	L
b1098	F
b2806	S
b0045	G
b3207	S
b4012	K
b1918	E
b2777	H
b2776	G
b2775	G
b1177	S
b2771	G
b2770	C
b2779	G
b2778	S
b1273	S
b1272	U,O
b1271	S
b1270	H
b1277	H
b1276	C
b1275	K
b1274	L
b1279	S
b1278	I
b4359	M
b4358	E
b4518	S
b1913	L
b4353	S
b4352	S
b4351	V
b4350	V
b4357	K
b4356	G
b4355	P
b4354	T
b2142	M
b1261	E
b2495	P
b1916	K
b2298	S
b1917	E
b1651	E
b1874	P
b1653	L
b1652	J
b1871	Q
b1654	O
b0878	M
b0879	V
b0700	M
b1658	K
b0874	S
b0875	G
b0872	C
b0873	C
b0870	E
b0871	E
b4137	P
b4136	O
b4135	K
b4133	K
b4132	E
b4131	E
b4130	E
b2299	S
b4139	E
b4138	O
b1479	C
b1478	C
b1454	O
b1471	M
b0848	S
b1473	E,G
b1475	C
b1474	C
b1477	K
b1476	C
b1323	K
b0109	H
b0702	S
b0674	E
b0675	G
b0676	K
b0677	G
b2359	S
b0678	G
b0679	G
b3325	U
b1595	K
b2609	J
b0298	L
b0299	
b0296	J
b4483	L
b0294	K
b2608	J
b0292	S
b0293	S
b0290	S
b0291	S
b1505	
b1504	S
b1507	S
b4000	L
b0058	J
b4006	F
b4005	F
b1502	S
b0054	M
b0055	O
b3267	M
b0101	S
