# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	190	255	+					thrL		HO397_00005	66		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	190	255	+	QJZ06489.1			thr operon leader peptide	thrL		HO397_00005	66	21	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	336	2798	+					thrA		HO397_00010	2463		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	336	2798	+	QJZ02606.1			bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		HO397_00010	2463	820	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	2800	3732	+					thrB		HO397_00015	933		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	2800	3732	+	QJZ02607.1			homoserine kinase	thrB		HO397_00015	933	310	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	3733	5019	+					thrC		HO397_00020	1287		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	3733	5019	+	QJZ02608.1			threonine synthase	thrC		HO397_00020	1287	428	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	5232	5528	+							HO397_00025	297		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	5232	5528	+	QJZ02609.1			DUF2502 domain-containing protein			HO397_00025	297	98	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	5681	6457	-					yaaA		HO397_00030	777		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	5681	6457	-	QJZ02610.1			peroxide stress protein YaaA	yaaA		HO397_00030	777	258	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	6527	7957	-							HO397_00035	1431		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	6527	7957	-	QJZ02611.1			sodium:alanine symporter family protein			HO397_00035	1431	476	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	8236	9189	+					tal		HO397_00040	954		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	8236	9189	+	QJZ02612.1			transaldolase	tal		HO397_00040	954	317	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	9304	9891	+					mog		HO397_00045	588		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	9304	9891	+	QJZ02613.1			molybdopterin adenylyltransferase	mog		HO397_00045	588	195	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	9926	10492	-					satP		HO397_00050	567		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	9926	10492	-	QJZ02614.1			acetate uptake transporter	satP		HO397_00050	567	188	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	10641	11354	-					msyB		HO397_00055	714		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	10641	11354	-	QJZ02615.1			acidic protein MsyB	msyB		HO397_00055	714	237	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	11380	11784	-							HO397_00060	405		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	11380	11784	-	QJZ02616.1			DUF2541 family protein			HO397_00060	405	134	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	12161	14077	+					dnaK		HO397_00065	1917		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	12161	14077	+	QJZ02617.1			molecular chaperone DnaK	dnaK		HO397_00065	1917	638	
gene	protein_coding	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	14166	15296	+					dnaJ		HO397_00070	1131		
CDS	with_protein	GCA_013166975.1	Primary Assembly	chromosome		CP053601.1	14166	15296	+	QJZ02618.1			molecular chaperone DnaJ	dnaJ		HO397_00070	1131	376	
