# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	190	255	+					thrL		Y75_RS00005	66		old_locus_tag=Y75_p0001
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	190	255	+	WP_001386572.1	WP_001386572.1		thr operon leader peptide	thrL		Y75_RS00005	66	21	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	337	2799	+					thrA		Y75_RS00010	2463		old_locus_tag=Y75_p0002
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	337	2799	+	WP_001264707.1	WP_001264707.1		bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		Y75_RS00010	2463	820	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	2801	3733	+					thrB		Y75_RS00015	933		old_locus_tag=Y75_p0003
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	2801	3733	+	WP_000241662.1	WP_000241662.1		homoserine kinase	thrB		Y75_RS00015	933	310	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	3734	5020	+					thrC		Y75_RS00020	1287		old_locus_tag=Y75_p0004
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	3734	5020	+	WP_000781074.1	WP_000781074.1		threonine synthase	thrC		Y75_RS00020	1287	428	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	5234	5530	+							Y75_RS00030	297		old_locus_tag=Y75_p0005
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	5234	5530	+	WP_000738719.1	WP_000738719.1		DUF2502 domain-containing protein			Y75_RS00030	297	98	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	5683	6459	-					yaaA		Y75_RS00035	777		old_locus_tag=Y75_p0006
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	5683	6459	-	WP_000906197.1	WP_000906197.1		peroxide stress protein YaaA	yaaA		Y75_RS00035	777	258	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	6529	7959	-							Y75_RS00040	1431		old_locus_tag=Y75_p0007
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	6529	7959	-	WP_001112606.1	WP_001112606.1		sodium:alanine symporter family protein			Y75_RS00040	1431	476	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	8238	9191	+					tal		Y75_RS00045	954		old_locus_tag=Y75_p0008
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	8238	9191	+	WP_000130185.1	WP_000130185.1		transaldolase	tal		Y75_RS00045	954	317	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	9306	9893	+					mog		Y75_RS00050	588		old_locus_tag=Y75_p0009
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	9306	9893	+	WP_001295414.1	WP_001295414.1		molybdopterin adenylyltransferase	mog		Y75_RS00050	588	195	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	9928	10494	-					satP		Y75_RS00055	567		old_locus_tag=Y75_p0010
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	9928	10494	-	WP_000528538.1	WP_000528538.1		acetate uptake transporter	satP		Y75_RS00055	567	188	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	10643	11356	-					msyB		Y75_RS00060	714		old_locus_tag=Y75_p0011
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	10643	11356	-	WP_001102367.1	WP_001102367.1		acidic protein MsyB	msyB		Y75_RS00060	714	237	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	11382	11786	-							Y75_RS00065	405		old_locus_tag=Y75_p0013
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	11382	11786	-	WP_000843565.1	WP_000843565.1		DUF2541 family protein			Y75_RS00065	405	134	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	12163	14079	+					dnaK		Y75_RS00070	1917		old_locus_tag=Y75_p0014
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	12163	14079	+	WP_000516135.1	WP_000516135.1		molecular chaperone DnaK	dnaK		Y75_RS00070	1917	638	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	14168	15298	+					dnaJ		Y75_RS00075	1131		old_locus_tag=Y75_p0015
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	14168	15298	+	WP_001118476.1	WP_001118476.1		molecular chaperone DnaJ	dnaJ		Y75_RS00075	1131	376	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	15445	16557	+							Y75_RS00080	1113		old_locus_tag=Y75_p0016
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	15445	16557	+	WP_001300563.1	WP_001300563.1		IS4-like element IS421 family transposase			Y75_RS00080	1113	370	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	16751	16960	-					mokC		Y75_RS00085	210		old_locus_tag=Y75_p0018
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	16751	16960	-	WP_000935262.1	WP_000935262.1		type I toxin-antitoxin system toxin MokC	mokC		Y75_RS00085	210	69	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	17489	18655	+					nhaA		Y75_RS00090	1167		old_locus_tag=Y75_p0019
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	17489	18655	+	WP_000681354.1	WP_000681354.1		Na+/H+ antiporter NhaA	nhaA		Y75_RS00090	1167	388	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	18721	19620	+					nhaR		Y75_RS00095	900		old_locus_tag=Y75_p0020
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	18721	19620	+	WP_001338226.1	WP_001338226.1		transcriptional activator NhaR	nhaR		Y75_RS00095	900	299	
gene	pseudogene	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	19658	19795	-							Y75_RS25155	138		partial;pseudo
CDS	without_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	19658	19795	-				fimbrial family protein			Y75_RS25155	138		partial;pseudo
gene	pseudogene	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	19811	20508	-							Y75_RS00100	698		pseudo;old_locus_tag=Y75_p0021
CDS	without_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	19811	20508	-				IS1-like element IS1A family transposase			Y75_RS00100	698		pseudo
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	20815	21078	-					rpsT		Y75_RS00110	264		old_locus_tag=Y75_p0023
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	20815	21078	-	WP_001274021.1	WP_001274021.1		30S ribosomal protein S20	rpsT		Y75_RS00110	264	87	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	21181	21399	+							Y75_RS00115	219		old_locus_tag=Y75_p0024
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	21181	21399	+	WP_001300728.1	WP_001300728.1		DUF2575 family protein			Y75_RS00115	219	72	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	21407	22348	+					ribF		Y75_RS00120	942		old_locus_tag=Y75_p0025
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	21407	22348	+	WP_000767329.1	WP_000767329.1		bifunctional riboflavin kinase/FAD synthetase	ribF		Y75_RS00120	942	313	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	22391	25207	+					ileS		Y75_RS00125	2817		old_locus_tag=Y75_p0026
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	22391	25207	+	WP_001286857.1	WP_001286857.1		isoleucine--tRNA ligase	ileS		Y75_RS00125	2817	938	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	25207	25701	+					lspA		Y75_RS00130	495		old_locus_tag=Y75_p0027
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	25207	25701	+	WP_000083372.1	WP_000083372.1		signal peptidase II	lspA		Y75_RS00130	495	164	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	25826	26275	+					fkpB		Y75_RS00135	450		old_locus_tag=Y75_p0028
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	25826	26275	+	WP_000004655.1	WP_000004655.1		FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB		Y75_RS00135	450	149	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	26277	27227	+					ispH		Y75_RS00140	951		old_locus_tag=Y75_p0029
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	26277	27227	+	WP_001166395.1	WP_001166395.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH		Y75_RS00140	951	316	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	27293	28207	+					rihC		Y75_RS00145	915		old_locus_tag=Y75_p0030
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	27293	28207	+	WP_001239142.1	WP_001239142.1		ribonucleoside hydrolase RihC	rihC		Y75_RS00145	915	304	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	28374	29195	+					dapB		Y75_RS00150	822		old_locus_tag=Y75_p0031
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	28374	29195	+	WP_000543604.1	WP_000543604.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		Y75_RS00150	822	273	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	29651	30799	+					carA		Y75_RS00165	1149		old_locus_tag=Y75_p0032
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	29651	30799	+	WP_000597260.1	WP_000597260.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		Y75_RS00165	1149	382	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	30817	34038	+					carB		Y75_RS00170	3222		old_locus_tag=Y75_p0033
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	30817	34038	+	WP_001126348.1	WP_001126348.1		carbamoyl-phosphate synthase large subunit	carB		Y75_RS00170	3222	1073	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	34300	34695	+					caiF		Y75_RS00180	396		old_locus_tag=Y75_p0034
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	34300	34695	+	WP_000333125.1	WP_000333125.1		carnitine metabolism transcriptional regulator CaiF	caiF		Y75_RS00180	396	131	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	34781	35371	-					caiE		Y75_RS00185	591		old_locus_tag=Y75_p0035
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	34781	35371	-	WP_000122871.1	WP_000122871.1		carnitine operon protein CaiE	caiE		Y75_RS00185	591	196	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	35377	36162	-					caiD		Y75_RS00190	786		old_locus_tag=Y75_p0036
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	35377	36162	-	WP_001295419.1	WP_001295419.1		crotonobetainyl-CoA hydratase	caiD		Y75_RS00190	786	261	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	36271	37824	-					caiC		Y75_RS00195	1554		old_locus_tag=Y75_p0037
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	36271	37824	-	WP_001350478.1	WP_001350478.1		crotonobetaine/carnitine-CoA ligase	caiC		Y75_RS00195	1554	517	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	37898	39115	-					caiB		Y75_RS00200	1218		old_locus_tag=Y75_p0038
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	37898	39115	-	WP_000349936.1	WP_000349936.1		L-carnitine CoA-transferase	caiB		Y75_RS00200	1218	405	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	39244	40386	-					caiA		Y75_RS00205	1143		old_locus_tag=Y75_p0039
CDS	with_protein	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	39244	40386	-	WP_000347117.1	WP_000347117.1		crotonobetainyl-CoA dehydrogenase	caiA		Y75_RS00205	1143	380	
gene	protein_coding	GCF_000010245.2	Primary Assembly	chromosome		NC_007779.1	40417	41931	-					caiT		Y75_RS00210	1515		old_locus_tag=Y75_p0040
