# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	190	255	+					thrL		ECMDS42_0001	66		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	190	255	+	BAL37321.1			thr operon leader peptide	thrL		ECMDS42_0001	66	21	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	337	2799	+					thrA		ECMDS42_0002	2463		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	337	2799	+	BAL37322.1			fused aspartokinase I and homoserine dehydrogenase I	thrA		ECMDS42_0002	2463	820	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2801	3733	+					thrB		ECMDS42_0003	933		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	2801	3733	+	BAL37323.1			homoserine kinase	thrB		ECMDS42_0003	933	310	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	3734	5020	+					thrC		ECMDS42_0004	1287		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	3734	5020	+	BAL37324.1			threonine synthase	thrC		ECMDS42_0004	1287	428	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	5234	5530	+					yaaX		ECMDS42_0005	297		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	5234	5530	+	BAL37325.1			predicted protein	yaaX		ECMDS42_0005	297	98	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	5683	6459	-					yaaA		ECMDS42_0006	777		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	5683	6459	-	BAL37326.1			conserved protein	yaaA		ECMDS42_0006	777	258	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	6529	7959	-					yaaJ		ECMDS42_0007	1431		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	6529	7959	-	BAL37327.1			predicted transporter	yaaJ		ECMDS42_0007	1431	476	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	8238	9191	+					talB		ECMDS42_0008	954		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	8238	9191	+	BAL37328.1			transaldolase B	talB		ECMDS42_0008	954	317	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	9306	9893	+					mog		ECMDS42_0009	588		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	9306	9893	+	BAL37329.1			predicted molybdochelatase	mog		ECMDS42_0009	588	195	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	9928	10494	-					yaaH		ECMDS42_0010	567		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	9928	10494	-	BAL37330.1			conserved inner membrane protein	yaaH		ECMDS42_0010	567	188	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	10643	11356	-					yaaW		ECMDS42_0011	714		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	10643	11356	-	BAL37331.1			conserved protein	yaaW		ECMDS42_0011	714	237	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	10830	11315	+					htgA		ECMDS42_0012	486		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	10830	11315	+	BAL37332.1			predicted protein	htgA		ECMDS42_0012	486	161	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	11382	11786	-					yaaI		ECMDS42_0013	405		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	11382	11786	-	BAL37333.1			predicted protein	yaaI		ECMDS42_0013	405	134	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	12163	14079	+					dnaK		ECMDS42_0014	1917		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	12163	14079	+	BAL37334.1			chaperone Hsp70, co-chaperone with DnaJ	dnaK		ECMDS42_0014	1917	638	
