BiocycAccession	Gene	Position		
G6130	insN	270278..270540		
G6130	insN	271764..272190		
EG10659	nmpC	575786..576825		
EG10659	nmpC	574529..574586		
G7760	yrhA	3583038..3583427		
G7760	yrhA	3584205..3584309		
G6692	lomR	1427389..1427598		
G6692	lomR	1428796..1428984		
G7904	insO	4507197..4507451		
G7904	insO	4509009..4509479		
G7904	insO	4509479..4509793		
EG11092	crl	257829..257899		
EG11092	crl	258676..259006		
EG11986	wbbL	2102944..2103389		
EG11986	wbbL	2101396..2101744		
G6298	renD	566684..566776		
G6298	renD	568035..568247		
G7585	yqiG	3186025..3186095		
G7585	yqiG	3187432..3189865		
G6222	yaiT	390251..391708		
G6222	yaiT	392970..394418		
EG12162	gatR	2171429..2171727		
EG12162	gatR	2169693..2170167		
G6722	ydbA	1465392..1467909		
G6722	ydbA	1469246..1469295		
G6722	ydbA	1470519..1474013		
EG12051	yejO	2290114..2290180		
EG12051	yejO	2286390..2288914		
EG12238	yhiS	3651291..3652036		
EG12238	yhiS	3653236..3653713		
G7671	yhcE	3365185..3365555		
G7671	yhcE	3366755..3366929		
G6214	yaiX	382591..382872		
G6214	yaiX	380844..381260		
G7075	yoeA	2068635..2068940		
G7075	yoeA	2070277..2070474		
